4es,DATE,D,TYPE,,COLOR,O,V,V,BUILD,TS R,🔥,SM,T1,WAX,T2,BAG,BOX,GEWICHT,BOX,LAB,📩,➡️,T&T,OPMERKINGEN
,,,329,188 | 127,,295,295,,468,47,282,283,283,283,280,203,254,,276,268,49,261,,
1240,16-3-2024,399,NATEY D4,440,C,TRUE,TRUE,TRUE,30-05-2024,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NATEY M,20 x 16 x 14,0.5,TRUE,TRUE,FALSE,TRUE,,
1249,22-3-2024,393,INNATO G3,432,C,TRUE,TRUE,TRUE,10-05-2024,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,INNATO XL,35 x 35 x 35,2,TRUE,TRUE,FALSE,TRUE,5112925381586,
1257,27-3-2024,388,INNATO B3,432,SB,TRUE,TRUE,TRUE,10-05-2024,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,INNATO L,ophalen,ophalen,TRUE,FALSE,TRUE,TRUE,,
1259,2-4-2024,382,NATEY C4,440,C,TRUE,TRUE,TRUE,27-05-2024,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,NATEY M,20 x 16 x 14,0.5,TRUE,TRUE,FALSE,TRUE,,
1261,9-4-2024,375,INNATO F#3,432,C,TRUE,TRUE,TRUE,10-05-2024,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,INNATO XXL,35 x 35 x 35,2.4,TRUE,TRUE,FALSE,TRUE,275332013615,
1266,16-4-2024,368,INNATO C4,440,B,TRUE,FALSE,TRUE,10-05-2024,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,INNATO M,31 x 31 x 31,1.6,TRUE,TRUE,FALSE,TRUE,275331532879,
1268,18-4-2024,366,INNATO Bb3,440,B,TRUE,TRUE,TRUE,25-05-2024,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,INNATO L,31 x 31 x 31,1.8,TRUE,TRUE,FALSE,TRUE,,
1269,19-4-2024,365,NATEY Bb3,440,SB,TRUE,TRUE,TRUE,10-05-2024,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NATEY L,30 x 12 x 12,0.6,TRUE,TRUE,FALSE,TRUE,275331532011,
1270,20-4-2024,364,NATEY D4,440,SB,TRUE,TRUE,TRUE,10-05-2024,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NATEY M,30 x 12 x 12,0.5,TRUE,TRUE,FALSE,TRUE,5112925381578,
1273,23-4-2024,361,INNATO A3,440,B,TRUE,TRUE,TRUE,29-05-2024,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,INNATO XL,31 x 31 x 31,1.9,TRUE,TRUE,FALSE,TRUE,,
1274,24-4-2024,360,INNATO A3,440,C,TRUE,TRUE,TRUE,10-05-2024,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,INNATO XL,31 x 31 x 31,1.9,TRUE,TRUE,FALSE,TRUE,275331999457,
1276,24-4-2024,360,INNATO D4,440,T,TRUE,TRUE,TRUE,10-05-2024,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,INNATO S,40 x 40 x 40,3.2,TRUE,TRUE,FALSE,TRUE,275331532397,
1276,24-4-2024,360,INNATO A3,440,T,FALSE,TRUE,TRUE,10-05-2024,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,INNATO XL,samen,samen,TRUE,TRUE,FALSE,TRUE,,
1279,26-4-2024,358,INNATO Bb3,432,SB,TRUE,TRUE,TRUE,10-05-2024,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,INNATO XL,35 x 35 x 35,1.9,TRUE,TRUE,FALSE,TRUE,5112925381576,
1280,26-4-2024,358,NATEY B3,440,C,TRUE,TRUE,TRUE,10-05-2024,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NATEY L,30 x 12 x 12,0.5,TRUE,TRUE,FALSE,TRUE,275331531997,
1281,27-4-2024,357,INNATO F#3,440,B,TRUE,TRUE,TRUE,04-06-2024,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,INNATO XXL,35 x 35 x 35,2.5,TRUE,TRUE,FALSE,TRUE,,
1282,28-4-2024,356,ZEN M,----,T,TRUE,TRUE,TRUE,10-05-2024,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,ZEN M,20 x 16 x 14,0.4,TRUE,TRUE,FALSE,TRUE,275331975254,
1283,28-4-2024,356,INNATO C4,440,B,TRUE,TRUE,TRUE,10-05-2024,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,INNATO M,31 x 31 x 31,1.7,TRUE,TRUE,FALSE,TRUE,275331533316,
1285,29-4-2024,355,INNATO C4,440,B,TRUE,TRUE,TRUE,10-05-2024,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,INNATO M,ophalen,,TRUE,TRUE,FALSE,TRUE,,
1286,29-4-2024,355,INNATO C4,432,B,TRUE,TRUE,TRUE,10-05-2024,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,INNATO M,31 x 31 x 31,,TRUE,TRUE,FALSE,TRUE,,
1287,30-4-2024,354,NATEY C4,440,TB,TRUE,TRUE,TRUE,10-05-2024,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NATEY M,30 x 12 x 12,0.5,TRUE,TRUE,FALSE,TRUE,5112925381577,
1288,7-5-2024,347,INNATO C4,432,SB,TRUE,TRUE,TRUE,16-05-2024,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,INNATO M,40 x 40 x 40,6.8,TRUE,TRUE,FALSE,TRUE,,
1288,2-5-2024,352,INNATO C4,432,SB,TRUE,TRUE,TRUE,16-05-2024,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,INNATO M,samen,"""",TRUE,TRUE,FALSE,TRUE,,
1288,2-5-2024,352,INNATO C4,432,SB,TRUE,TRUE,TRUE,16-05-2024,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,INNATO M,samen,"""",TRUE,TRUE,FALSE,TRUE,,
1288,3-5-2024,351,INNATO A3,432,SB,TRUE,TRUE,TRUE,29-05-2024,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,INNATO XL,samen,"""",TRUE,TRUE,FALSE,TRUE,,
1288,4-5-2024,350,INNATO A3,432,SB,TRUE,TRUE,TRUE,04-06-2024,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,INNATO XL,samen,"""",TRUE,TRUE,FALSE,TRUE,,
1289,2-5-2024,352,INNATO Bb3,440,SB,TRUE,TRUE,TRUE,27-05-2024,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,INNATO L,31 x 31 x 31,1.9,TRUE,TRUE,FALSE,TRUE,,ander factuuradres
1290,4-5-2024,350,INNATO Bb3,440,C,TRUE,TRUE,TRUE,24-05-2024,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,INNATO L,31 x 31 x 31,2.0,TRUE,TRUE,FALSE,TRUE,,
1291,4-5-2024,350,INNATO F#3,440,SB,TRUE,TRUE,TRUE,25-05-2024,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,INNATO XXL,35 x 35 x 35,2.4,TRUE,TRUE,FALSE,TRUE,,
1292,4-5-2024,350,NATEY A4,440,T,TRUE,TRUE,TRUE,30-05-2024,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NATEY S,17 x 12 x 13,0.3,TRUE,FALSE,FALSE,TRUE,,17 x 12 x 13
1293,6-5-2024,348,INNATO F3,432,B,TRUE,TRUE,TRUE,10-06-2024,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,INNATO XXL,35 x 35 x 35,2.4,TRUE,TRUE,FALSE,TRUE,,Op vakantie van 15-6 tot 1-7
1294,7-5-2024,347,INNATO E4,440,B,TRUE,TRUE,TRUE,17-06-2024,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,INNATO S,31 x 31 x 31,1.5,TRUE,FALSE,FALSE,TRUE,,
1295,9-5-2024,345,INNATO C4,432,B,TRUE,TRUE,TRUE,10-06-2024,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,INNATO M,31 x 31 x 31,1.7,TRUE,FALSE,FALSE,TRUE,,
1296,9-5-2024,345,INNATO C4,432,SB,TRUE,TRUE,TRUE,20-06-2024,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,INNATO M,31 x 31 x 31,1.7,TRUE,FALSE,FALSE,TRUE,,
1297,9-5-2024,345,DOUBLE B3,432,SB,TRUE,TRUE,TRUE,20-06-2024,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,DOUBLE M,31 x 31 x 31,1.2,TRUE,FALSE,FALSE,TRUE,,Add a CD
1298,12-5-2024,342,INNATO G#3,432,C,TRUE,TRUE,TRUE,18-06-2024,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,INNATO XL,35 x 35 x 35,2.0,TRUE,TRUE,FALSE,TRUE,,
1299,13-5-2024,341,INNATO C4,440,B,TRUE,TRUE,TRUE,06-06-2024,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,INNATO M,ophalen,1.6,TRUE,TRUE,FALSE,TRUE,,
1300,16-5-2024,338,NATEY D4,432,C,TRUE,TRUE,TRUE,19-06-2024,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NATEY M,20 x 16 x 14,0.5,TRUE,TRUE,FALSE,TRUE,277759068140,
1301,16-5-2024,338,NATEY C4,440,T,TRUE,TRUE,TRUE,19-06-2024,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NATEY M,30 x 12 x 12,0.5,TRUE,TRUE,FALSE,TRUE,,
1302,19-5-2024,335,INNATO C4,432,SB,TRUE,TRUE,TRUE,17-06-2024,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,INNATO M,31 x 31 x 31,1.6,TRUE,TRUE,FALSE,TRUE,,
1303,20-5-2024,334,INNATO C4,440,T,TRUE,TRUE,TRUE,17-06-2024,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,INNATO M,31 x 31 x 31,1.6,TRUE,TRUE,FALSE,TRUE,,
1304,20-5-2024,334,INNATO D4,440,C,TRUE,TRUE,TRUE,17-06-2024,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,INNATO S,31 x 31 x 31,1.4,TRUE,TRUE,FALSE,TRUE,,
1305,21-5-2024,333,NATEY A3,440,SB,TRUE,TRUE,TRUE,22-06-2024,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NATEY L,30 x 12 x 12,0.6,TRUE,TRUE,FALSE,TRUE,,
1306,22-5-2024,332,INNATO C#4,440,T,TRUE,TRUE,TRUE,19-04-2025,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,INNATO M,31 x 31 x 31,1.7,TRUE,TRUE,FALSE,TRUE,277759069890,
1307,23-5-2024,331,INNATO Bb3,440,C,TRUE,TRUE,TRUE,19-04-2025,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,INNATO L,31 x 31 x 31,2.0,TRUE,TRUE,FALSE,TRUE,,
1308,23-5-2024,331,INNATO C4,432,SB,TRUE,TRUE,TRUE,19-04-2025,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,INNATO M,31 x 31 x 31,1.6,FALSE,FALSE,FALSE,TRUE,,
1309,23-5-2024,331,NATEY C4,432,TB,TRUE,TRUE,TRUE,19-04-2025,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,NATEY M,20 x 16 x 14,.5,TRUE,TRUE,FALSE,TRUE,277529482331,
1310,23-5-2024,331,DOUBLE G#3,432,SB,TRUE,TRUE,TRUE,19-04-2025,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,DOUBLE L,35 x 35 x 35,,TRUE,TRUE,FALSE,TRUE,,
1310,23-5-2024,331,INNATO G3,440,C,TRUE,TRUE,TRUE,19-04-2025,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,INNATO XL,samen,,TRUE,TRUE,FALSE,TRUE,,
1310,23-5-2024,331,NATEY D4,432,TB,TRUE,TRUE,TRUE,19-04-2025,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,NATEY M,samen,3.3,TRUE,TRUE,FALSE,TRUE,,
1311,23-5-2024,331,ZEN L,440,T,TRUE,TRUE,TRUE,19-04-2025,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,ZEN L,20 x 16 x 14,.6,TRUE,TRUE,FALSE,TRUE,277529481004,
1312,24-5-2024,330,NATEY C4,440,B,TRUE,TRUE,TRUE,19-04-2025,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,NATEY M,20 x 16 x 14,.5,TRUE,TRUE,FALSE,TRUE,277529482147,
1313,24-5-2024,330,NATEY D4,432,C,TRUE,TRUE,TRUE,19-04-2025,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,NATEY M,20 x 16 x 14,.5,TRUE,TRUE,FALSE,TRUE,5112925382468,
1315,27-5-2024,327,INNATO A3,432,SB,TRUE,TRUE,TRUE,19-04-2025,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,INNATO XL,31 x 31 x 31,1.8,TRUE,TRUE,FALSE,TRUE,,
1316,27-5-2024,327,INNATO C4,440,B,TRUE,TRUE,TRUE,19-04-2025,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,INNATO M,31 x 31 x 31,1.7,TRUE,TRUE,FALSE,TRUE,,
1317,28-5-2024,326,INNATO A3,440,C,TRUE,TRUE,TRUE,19-04-2025,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,INNATO XL,31 x 31 x 31,2.0,TRUE,TRUE,FALSE,TRUE,,
1318,28-5-2024,326,INNATO C4,440,TB,TRUE,TRUE,TRUE,19-04-2025,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,INNATO M,31 x 31 x 31,1.7,TRUE,TRUE,FALSE,TRUE,,
1319,28-5-2024,326,INNATO A3,440,C,TRUE,TRUE,TRUE,19-04-2025,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,INNATO XL,31 x 31 x 31,2.0,TRUE,TRUE,FALSE,TRUE,277759068449,
1320,31-5-2024,323,INNATO C4,432,B,TRUE,TRUE,TRUE,19-04-2025,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,INNATO M,31 x 31 x 31,1.6,TRUE,TRUE,FALSE,TRUE,,
1321,31-5-2024,323,INNATO F#3,432,C,TRUE,TRUE,TRUE,19-04-2025,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,INNATO XXL,35 x 35 x 35,2.4,TRUE,TRUE,FALSE,TRUE,,F#major!
1322,2-6-2024,321,INNATO C4,432,B,TRUE,TRUE,TRUE,19-04-2025,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,INNATO M,31 x 31 x 31,1.7,TRUE,TRUE,FALSE,TRUE,5112925382547,
1323,2-6-2024,321,INNATO E4,440,B,TRUE,TRUE,TRUE,19-04-2025,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,INNATO S,31 x 31 x 31,1.4,TRUE,TRUE,FALSE,TRUE,277759066950,
1324,5-6-2024,318,INNATO D4,440,B,TRUE,TRUE,TRUE,19-04-2025,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,INNATO S,31 x 31 x 31,1.5,TRUE,TRUE,FALSE,TRUE,277759066104,
1325,6-6-2024,317,INNATO A3,440,B,TRUE,TRUE,TRUE,19-04-2025,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,INNATO XL,31 x 31 x 31,1.8,TRUE,TRUE,FALSE,TRUE,,
1326,7-6-2024,316,INNATO Bb3,440,SB,TRUE,TRUE,TRUE,19-04-2025,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,INNATO L,31 x 31 x 31,1.8,TRUE,TRUE,FALSE,TRUE,,
1327,7-6-2024,316,ZEN M,440,,TRUE,TRUE,TRUE,19-04-2025,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,ZEN M,20 x 16 x 14,.5,TRUE,FALSE,FALSE,TRUE,277529481460,
1328,10-6-2024,313,INNATO A3,432,B,TRUE,TRUE,TRUE,19-04-2025,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,INNATO XL,31 x 31 x 31,1.9,TRUE,TRUE,FALSE,TRUE,,
1329,11-6-2024,312,INNATO D4,432,B,TRUE,TRUE,TRUE,19-04-2025,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,INNATO S,31 x 31 x 31,1.6,TRUE,TRUE,FALSE,TRUE,5112925382549,Make asap because of travel 
1330,13-6-2024,310,INNATO C4,432,B,TRUE,TRUE,TRUE,19-04-2025,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,INNATO M,31 x 31 x 31,1.7,TRUE,TRUE,FALSE,TRUE,5112925382548,
1331,14-6-2024,309,INNATO Bb3,440,SB,TRUE,TRUE,TRUE,19-04-2025,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,INNATO XL,31 x 31 x 31,1.9,TRUE,TRUE,FALSE,TRUE,277759069055,
1332,15-6-2024,308,NATEY D4,432,C,TRUE,TRUE,TRUE,19-04-2025,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,NATEY M,17 x 12 x 13,0.5,TRUE,TRUE,FALSE,TRUE,,
1333,15-6-2024,308,NATEY A3,440,C,TRUE,TRUE,TRUE,19-04-2025,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,NATEY L,30 x 12 x 12,0.6,TRUE,TRUE,FALSE,TRUE,277759066090,
1334,16-6-2024,307,INNATO D#4,432,B,TRUE,TRUE,TRUE,19-04-2025,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,INNATO S,31 x 31 x 31,1.5,TRUE,TRUE,FALSE,TRUE,,
1335,16-6-2024,307,INNATO C4,440,SB,TRUE,TRUE,TRUE,19-04-2025,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,INNATO M,31 x 31 x 31,1.7,TRUE,TRUE,FALSE,TRUE,,
